source,country,topic,title,url,published_at,domain,language,tone,collected_at,title_length
GDELT,Nigeria,infrastructure,"Take Frontline Role In Africa Digital Transformation , Inuwa Urges Youth",https://leadership.ng/take-frontline-role-in-africas-digital-transformation-inuwa-urges-youth/,2025-12-03 07:45:00+00:00,leadership.ng,English,,2025-12-03 17:21:35.825805,72
GDELT,Nigeria,infrastructure,Galaxy Backbone & NASENI Partner on National ICT in Nigeria,https://punchng.com/galaxy-backbone-naseni-partner-to-enhance-national-ict/,2025-11-30 02:00:00+00:00,punchng.com,English,,2025-12-03 17:21:35.825805,59
GDELT,Nigeria,infrastructure,Legend Internet Secures 119 . 7 % Oversubscription For N10bn Commercial Paper,https://leadership.ng/legend-internet-secures-119-7-oversubscription-for-n10bn-commercial-paper/,2025-11-27 07:00:00+00:00,leadership.ng,English,,2025-12-03 17:21:35.825805,77
GDELT,Nigeria,infrastructure,Project Bridge : Nigeria Fibre Network Set for Q1 2026,https://punchng.com/project-bridge-fibre-network-scheduled-for-q1-2026-delivery-nitda/,2025-11-26 07:15:00+00:00,punchng.com,English,,2025-12-03 17:21:35.825805,54
GDELT,Nigeria,infrastructure,  How Nigeria can become AI hub for Africa  ,https://guardian.ng/news/how-nigeria-can-become-ai-hub-for-africa/,2025-12-01 09:00:00+00:00,guardian.ng,English,,2025-12-03 17:21:35.825805,44
GDELT,Nigeria,infrastructure,"Education , communication ministers unveil joint push for digital education",https://www.premiumtimesng.com/news/top-news/839322-education-communication-ministers-unveil-joint-push-for-digital-education.html,2025-11-28 22:00:00+00:00,premiumtimesng.com,English,,2025-12-03 17:21:35.825805,75
GDELT,Nigeria,infrastructure,Angola Cables apresenta  Cloud Node Luanda - 02  e ambiciona ser maior opo no mercado,https://sapo.pt/artigo/angola-cables-apresenta-cloud-node-luanda-02-e-ambiciona-ser-maior-opcao-no-mercado-692d53b79d77fc389d81e64b,2025-12-01 09:30:00+00:00,sapo.pt,Portuguese,,2025-12-03 17:21:35.825805,85
GDELT,Nigeria,infrastructure,Monazite : Nigeria $300bn Asset Still Underground,https://leadership.ng/monazite-nigerias-300bn-asset-still-underground/,2025-12-01 07:15:00+00:00,leadership.ng,English,,2025-12-03 17:21:35.825805,49
GDELT,Nigeria,infrastructure,  How infrastructure development can unlock AfCFTA potential  ,https://guardian.ng/business-services/industry/how-infrastructure-development-can-unlock-afcfta-potential/,2025-12-03 06:00:00+00:00,guardian.ng,English,,2025-12-03 17:21:35.825805,62
GDELT,Nigeria,infrastructure,This Week In Tech – THISDAYLIVE,https://www.thisdaylive.com/2025/12/02/this-week-in-tech-9/,2025-12-02 03:15:00+00:00,thisdaylive.com,English,,2025-12-03 17:21:35.825805,31
GDELT,Nigeria,infrastructure,Aviation Tax in Nigeria Requires Government Consensus,https://punchng.com/aviation-tax-removal-requires-govt-consensus-says-keyamo/,2025-12-02 05:00:00+00:00,punchng.com,English,,2025-12-03 17:21:35.825805,53
GDELT,Nigeria,infrastructure,AI to reshape 40 % of job skills in Nigeria by 2030,https://punchng.com/ai-to-reshape-40-of-nigerias-job-skills/,2025-12-03 01:15:00+00:00,punchng.com,English,,2025-12-03 17:21:35.825805,51
