source,source_name,title,description,url,published_at,language,collected_at
African RSS,AllAfrica,Sudan: Warnings of Preparations for More Mass Atrocities in Darfur as Conflict Intensifies Across Sudan,"[allAfrica] Amid ongoing genocidal war in Sudan's Darfur region - two decades after a genocide that mobilized global response - researchers are sounding the alarm about satellite evidence of new barriers being built around areas to which many fled for more safety.  There are fears of a repeat of tactics used in the city of El Fasher last month - documented by the Humanitarian Research Lab at the Yale School of Public Health - where residents who failed to escape in time were surrounded,",https://allafrica.com/stories/202512030516.html,2025-12-03 14:50:53,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Guinea Bissau: Guinea-Bissau Electoral Commission Says Poll Results 'Destroyed' in Coup,[RFI] Guinea-Bissau's electoral commission says that it cannot publish the results of last week's contested election as the vote counts have been destroyed in an attack. The military took control of the country a day before the provisional results were due to be announced.,https://allafrica.com/stories/202512040254.html,2025-12-04 11:43:55,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Ghana: $14m Safe Water Project Launched,[Ghanaian Times] A 14-million-dollar water project aimed at expanding access to safe drinking water in parts of northern Ghana has been launched to improve water delivery and strengthen investment in the country's water sector.,https://allafrica.com/stories/202512040178.html,2025-12-04 09:13:10,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Kenya: Kenya Abstains From UN Vote Compelling Russia to Return Abducted Ukrainian Children,"[Capital FM] Nairobi -- Kenya on Wednesday abstained from voting on a United Nations General Assembly (UNGA) resolution demanding that Russia ""immediately, safely and unconditionally"" return Ukrainian children taken from occupied territories or deported since 2014.",https://allafrica.com/stories/202512040176.html,2025-12-04 09:12:00,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,"Africa: All of Africa Today - December 4, 2025",[allAfrica],https://allafrica.com/stories/202512040114.html,2025-12-04 06:54:25,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Kenya: Nairobi On the Brink As Budget Cuts and Pending Bills Cripple County Services,"[Capital FM] Nairobi -- Nairobi County is teetering on the edge of financial paralysis, with shrinking budgets, exploding pending bills, and collapsing essential services, according to a new analysis by the Kenya Human Rights Commission (KHRC).",https://allafrica.com/stories/202512040095.html,2025-12-04 05:27:29,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Sudan: U.S.  President Trump 'Personally Overseeing' Efforts to End War in Sudan - Washington Warns of 'Consequences' If Russian Red Sea Naval Base Allowed,"[Dabanga] Washington D.C. / London / El Fasher / Port Sudan -- US Secretary of State Marco Rubio has stated that President Donald Trump is personally overseeing efforts to end the war in Sudan, UK Foreign Secretary Yvette Cooper on Tuesday said that the country requires a ""global push"" for peace, while the UN Humanitarian Coordinator for Sudan, Denise Brown, warns that killings of civilians continue in several Sudanese cities under siege by Rapid Support Forces (RSF), which are preventing humanitarian aid from reaching those in need.",https://allafrica.com/stories/202512030714.html,2025-12-03 22:07:04,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Sudan: Sudan's Crisis Deepens With Communities Trapped in 'Siege Conditions',"[UN News] Civilians across Sudan's Kordofan region are facing extreme hardship as conflict intensifies, warned the UN aid coordination office (OCHA) on Wednesday.",https://allafrica.com/stories/202512040191.html,2025-12-04 09:28:29,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,Africa: G20 Summit - Norway Reaffirms Support to Africa's Development With Nok 3.1 Billion Pledge to the African Development Fund's Seventeenth Replenishment,"[African Development Bank (AfDB)] Norway reaffirmed its long-standing commitment to Africa's low-income countries with a NOK 3.1 billion pledge to the African Development Fund's seventeenth replenishment (ADF-17). The announcement, made during the Global Citizen Now: Johannesburg event, held on 21 November, was later reiterated in a bilateral meeting between Norwegian Prime Minister Jonas Gahr St&#xf8;re and African Development Bank Group President Dr Sidi Ould Tah.",https://allafrica.com/stories/202512020705.html,2025-12-02 18:17:52,unknown,2025-12-04 15:08:42.996501
African RSS,AllAfrica,"Africa: Africa Sets Course for Affordable, Quality Medicines With New 10-Year Roadmap","[WHO-AFRO] Pretoria -- African leaders and global partners have agreed on a bold 10-year regional vision to redesign how essential health products are financed, produced, and delivered, marking a major step toward ensuring that everyone in the African Region can access affordable, quality-assured medicines and health technologies.",https://allafrica.com/stories/202512040082.html,2025-12-04 05:21:51,unknown,2025-12-04 15:08:42.996501
