source,source_name,title,description,url,published_at,language,title_length,country_inferred
African RSS,AllAfrica,Congo-Kinshasa: Washington Summit On DRC-Rwanda Relations Aims for Peace Despite Deep Mistrust,"[RFI] The leaders of the Democratic Republic of Congo and Rwanda are meeting in Washington to endorse two long-negotiated agreements, in a United States-backed push to revive a fragile peace process. The summit comes amid ongoing violence in eastern DRC and an atmosphere of mistrust, making progress uncertain.",https://allafrica.com/stories/202512040356.html,2025-12-04 14:42:48,unknown,94,Rwanda
African RSS,AllAfrica,Guinea Bissau: Guinea-Bissau Electoral Commission Says Poll Results 'Destroyed' in Coup,[RFI] Guinea-Bissau's electoral commission says that it cannot publish the results of last week's contested election as the vote counts have been destroyed in an attack. The military took control of the country a day before the provisional results were due to be announced.,https://allafrica.com/stories/202512040254.html,2025-12-04 11:43:55,unknown,87,Guinea
African RSS,AllAfrica,Ghana: $14m Safe Water Project Launched,[Ghanaian Times] A 14-million-dollar water project aimed at expanding access to safe drinking water in parts of northern Ghana has been launched to improve water delivery and strengthen investment in the country's water sector.,https://allafrica.com/stories/202512040178.html,2025-12-04 09:13:10,unknown,39,Ghana
African RSS,AllAfrica,Kenya: Kenya Abstains From UN Vote Compelling Russia to Return Abducted Ukrainian Children,"[Capital FM] Nairobi -- Kenya on Wednesday abstained from voting on a United Nations General Assembly (UNGA) resolution demanding that Russia ""immediately, safely and unconditionally"" return Ukrainian children taken from occupied territories or deported since 2014.",https://allafrica.com/stories/202512040176.html,2025-12-04 09:12:00,unknown,90,Kenya
African RSS,AllAfrica,"Africa: All of Africa Today - December 4, 2025",[allAfrica],https://allafrica.com/stories/202512040114.html,2025-12-04 06:54:25,unknown,46,Unknown
African RSS,AllAfrica,Kenya: Nairobi On the Brink As Budget Cuts and Pending Bills Cripple County Services,"[Capital FM] Nairobi -- Nairobi County is teetering on the edge of financial paralysis, with shrinking budgets, exploding pending bills, and collapsing essential services, according to a new analysis by the Kenya Human Rights Commission (KHRC).",https://allafrica.com/stories/202512040095.html,2025-12-04 05:27:29,unknown,84,Kenya
African RSS,AllAfrica,Sudan: U.S.  President Trump 'Personally Overseeing' Efforts to End War in Sudan - Washington Warns of 'Consequences' If Russian Red Sea Naval Base Allowed,"[Dabanga] Washington D.C. / London / El Fasher / Port Sudan -- US Secretary of State Marco Rubio has stated that President Donald Trump is personally overseeing efforts to end the war in Sudan, UK Foreign Secretary Yvette Cooper on Tuesday said that the country requires a ""global push"" for peace, while the UN Humanitarian Coordinator for Sudan, Denise Brown, warns that killings of civilians continue in several Sudanese cities under siege by Rapid Support Forces (RSF), which are preventing humanitarian aid from reaching those in need.",https://allafrica.com/stories/202512030714.html,2025-12-03 22:07:04,unknown,155,Sudan
African RSS,AllAfrica,Sudan: Sudan's Crisis Deepens With Communities Trapped in 'Siege Conditions',"[UN News] Civilians across Sudan's Kordofan region are facing extreme hardship as conflict intensifies, warned the UN aid coordination office (OCHA) on Wednesday.",https://allafrica.com/stories/202512040191.html,2025-12-04 09:28:29,unknown,76,Sudan
African RSS,AllAfrica,Africa: The UAE's Expanding Economic Footprint In Francophone Africa,"[InfoWire] The United Arab Emirates has emerged as a significant economic partner across Francophone Africa, complementing rather than displacing long-established actors. Although its engagement remains relatively recent, the scale of investment commitments and the consistency of political dialogue reveal an ambition to anchor durable partnerships throughout West and Central Africa.",https://allafrica.com/stories/202511280455.html,2025-11-28 14:16:46,unknown,68,Unknown
African RSS,AllAfrica,"Africa: Africa Sets Course for Affordable, Quality Medicines With New 10-Year Roadmap","[WHO-AFRO] Pretoria -- African leaders and global partners have agreed on a bold 10-year regional vision to redesign how essential health products are financed, produced, and delivered, marking a major step toward ensuring that everyone in the African Region can access affordable, quality-assured medicines and health technologies.",https://allafrica.com/stories/202512040082.html,2025-12-04 05:21:51,unknown,85,Unknown
